ID,Month,Day,minmax,Date,Level(m)
01AD004,9,2,min,1980-09-02,134.283
01AD004,9,2,max,2019-09-02,135.936
01AD004,9,3,min,1980-09-03,134.282
01AD004,9,3,max,2019-09-03,135.72501
01AD004,9,4,min,1980-09-04,134.283
01AD004,9,4,max,2019-09-04,135.64999
01AD004,9,5,min,1980-09-05,134.27901
01AD004,9,5,max,2019-09-05,135.718
01AD004,9,6,min,1980-09-06,134.269
01AD004,9,6,max,2019-09-06,136.23199
01AD004,9,7,min,1980-09-07,134.263
01AD004,9,7,max,2019-09-07,137.33501
01AD004,9,8,min,1980-09-08,134.25799999999998
01AD004,9,8,max,2019-09-08,137.161
01AD004,9,9,min,1980-09-09,134.25799999999998
01AD004,9,9,max,2019-09-09,136.688
01AD004,9,10,min,1980-09-10,134.261
01AD004,9,10,max,2019-09-10,136.319
01AD004,9,11,min,1980-09-11,134.284
01AD004,9,11,max,2019-09-11,136.813
01AD004,9,12,min,1980-09-12,134.343
01AD004,9,12,max,2019-09-12,136.961
01AD004,9,13,min,1980-09-13,134.36501
01AD004,9,13,max,2019-09-13,136.56599
01AD004,9,14,min,1980-09-14,134.326
01AD004,9,14,max,2019-09-14,136.47799999999998
01AD004,9,15,min,1980-09-15,134.35898999999998
01AD004,9,15,max,2019-09-15,136.174
01AD004,9,16,min,1980-09-16,134.34801000000002
01AD004,9,16,max,2019-09-16,135.888
01AD004,9,17,min,1980-09-17,134.32001
01AD004,9,17,max,2019-09-17,135.97301000000002
01AD004,9,18,min,1980-09-18,134.343
01AD004,9,18,max,2019-09-18,135.88
01AD004,9,19,min,1980-09-19,134.327
01AD004,9,19,max,2019-09-19,135.67
01AD004,9,20,min,1980-09-20,134.314
01AD004,9,20,max,2019-09-20,135.45
01AD004,9,21,min,1980-09-21,134.291
01AD004,9,21,max,2019-09-21,135.39799
01AD004,9,22,min,1980-09-22,134.30901
01AD004,9,22,max,2019-09-22,135.33701000000002
01AD004,9,23,min,1980-09-23,134.297
01AD004,9,23,max,2019-09-23,135.28101
01AD004,9,24,min,1980-09-24,134.28798999999998
01AD004,9,24,max,2019-09-24,135.395
01AD004,9,25,min,1980-09-25,134.282
01AD004,9,25,max,2019-09-25,136.392
01AD004,9,26,min,1980-09-26,134.30299
01AD004,9,26,max,2019-09-26,137.963
01AD004,9,27,min,1980-09-27,134.30499
01AD004,9,27,max,2019-09-27,137.45399
