ID,Month,Day,minmax,Date,Flow(m³/s)
02DD020,6,10,max,2019-06-10,124.0
02DD020,6,11,min,1982-06-11,15.3
02DD020,6,11,max,2019-06-11,123.0
02DD020,6,12,min,1982-06-12,15.1
02DD020,6,12,max,2019-06-12,122.0
02DD020,6,13,min,1982-06-13,15.7
02DD020,6,13,max,2019-06-13,122.0
02DD020,6,14,min,1982-06-14,15.8
02DD020,6,14,max,2019-06-14,122.0
02DD020,6,15,min,1982-06-15,15.7
02DD020,6,15,max,2019-06-15,122.0
02DD020,6,16,min,1982-06-16,15.8
02DD020,6,16,max,2019-06-16,123.0
02DD020,6,17,min,1982-06-17,15.7
02DD020,6,17,max,2019-06-17,122.0
02DD020,6,18,min,1982-06-18,15.6
02DD020,6,18,max,2019-06-18,122.0
02DD020,6,19,min,1982-06-19,16.0
02DD020,6,19,max,2019-06-19,121.0
02DD020,6,20,min,1982-06-20,15.9
02DD020,6,20,max,2019-06-20,120.0
02DD020,6,21,min,1982-06-21,16.0
02DD020,6,21,max,2019-06-21,101.0
02DD020,6,22,min,1982-06-22,15.9
02DD020,6,22,max,2019-06-22,95.900002
02DD020,6,23,min,1982-06-23,16.1
02DD020,6,23,max,2019-06-23,92.900002
02DD020,6,24,min,1982-06-24,16.0
02DD020,6,24,max,2019-06-24,87.599998
02DD020,6,25,min,1982-06-25,15.9
02DD020,6,25,max,2019-06-25,87.5
02DD020,6,26,min,1982-06-26,15.8
02DD020,6,26,max,2019-06-26,87.400002
02DD020,6,27,min,1982-06-27,16.1
02DD020,6,27,max,2019-06-27,86.400002
02DD020,6,28,min,1982-06-28,15.9
02DD020,6,28,max,2019-06-28,87.599998
02DD020,6,29,min,1982-06-29,16.700001
02DD020,6,29,max,2019-06-29,87.099998
02DD020,6,30,min,1982-06-30,16.4
02DD020,6,30,max,2019-06-30,86.400002
02DD020,7,1,min,1982-07-01,16.299999
02DD020,7,1,max,2019-07-01,85.800003
02DD020,7,2,min,1982-07-02,16.299999
02DD020,7,2,max,2019-07-02,85.800003
02DD020,7,3,min,1982-07-03,16.0
02DD020,7,3,max,2019-07-03,85.800003
02DD020,7,4,min,1982-07-04,16.1
02DD020,7,4,max,2019-07-04,85.400002
02DD020,7,5,min,1982-07-05,15.9
02DD020,7,5,max,2019-07-05,85.599998
02DD020,7,6,min,1982-07-06,15.8
02DD020,7,6,max,2019-07-06,85.599998
02DD020,7,7,min,1982-07-07,15.8
02DD020,7,7,max,2019-07-07,84.900002
02DD020,7,8,min,1982-07-08,16.1
02DD020,7,8,max,2019-07-08,84.699997
02DD020,7,9,min,1982-07-09,15.8
02DD020,7,9,max,2019-07-09,84.599998
02DD020,7,10,min,1982-07-10,15.7
02DD020,7,10,max,2019-07-10,84.5
02DD020,7,11,min,1982-07-11,15.8
02DD020,7,11,max,2019-07-11,84.400002
02DD020,7,12,min,1982-07-12,15.7
02DD020,7,12,max,2019-07-12,83.800003
02DD020,7,13,min,1982-07-13,16.200001
02DD020,7,13,max,2019-07-13,83.900002
02DD020,7,14,min,1982-07-14,16.799999
02DD020,7,14,max,2019-07-14,84.0
02DD020,7,15,min,1982-07-15,16.200001
02DD020,7,15,max,2019-07-15,84.099998
02DD020,7,16,min,1982-07-16,15.8
02DD020,7,16,max,2019-07-16,84.099998
02DD020,7,17,min,1982-07-17,15.5
02DD020,7,17,max,2019-07-17,84.0
02DD020,7,18,min,1982-07-18,15.4
02DD020,7,18,max,2019-07-18,83.900002
02DD020,7,19,min,1982-07-19,15.8
02DD020,7,19,max,2019-07-19,84.599998
02DD020,7,20,min,1982-07-20,15.7
02DD020,7,20,max,2019-07-20,84.0
02DD020,7,21,min,1982-07-21,15.5
02DD020,7,21,max,2019-07-21,84.5
02DD020,7,22,min,1982-07-22,15.5
02DD020,7,22,max,2019-07-22,83.800003
02DD020,7,23,min,1982-07-23,15.4
02DD020,7,23,max,2019-07-23,83.099998
02DD020,7,24,min,1982-07-24,15.3
02DD020,7,24,max,2019-07-24,82.0
02DD020,7,25,min,1982-07-25,15.3
02DD020,7,25,max,2019-07-25,82.0
02DD020,7,26,min,1982-07-26,15.4
02DD020,7,26,max,2019-07-26,81.400002
02DD020,7,27,min,1982-07-27,15.3
02DD020,7,27,max,2019-07-27,82.400002
02DD020,7,28,min,1982-07-28,15.2
02DD020,7,28,max,2019-07-28,80.900002
02DD020,7,29,min,1982-07-29,15.1
02DD020,7,29,max,2019-07-29,84.599998
02DD020,7,30,min,1982-07-30,15.3
02DD020,7,30,max,2019-07-30,86.0
02DD020,7,31,min,1982-07-31,14.9
02DD020,7,31,max,2019-07-31,85.0
02DD020,8,1,min,1982-08-01,15.0
02DD020,8,1,max,2019-08-01,84.300003
02DD020,8,2,min,1982-08-02,14.7
02DD020,8,2,max,2019-08-02,84.099998
02DD020,8,3,min,1982-08-03,14.7
02DD020,8,3,max,2019-08-03,83.5
02DD020,8,4,min,1982-08-04,14.4
02DD020,8,4,max,2019-08-04,83.900002
02DD020,8,5,min,1982-08-05,14.5
02DD020,8,5,max,2019-08-05,83.800003
02DD020,8,6,min,1982-08-06,14.6
02DD020,8,6,max,2019-08-06,83.400002
02DD020,8,7,min,1982-08-07,14.7
02DD020,8,7,max,2019-08-07,83.199997
02DD020,8,8,min,1982-08-08,14.7
02DD020,8,8,max,2019-08-08,83.5
02DD020,8,9,min,1982-08-09,14.6
02DD020,8,9,max,2019-08-09,82.900002
02DD020,8,10,min,1982-08-10,14.5
02DD020,8,10,max,2019-08-10,83.5
02DD020,8,11,min,1982-08-11,14.5
02DD020,8,11,max,2019-08-11,83.400002
02DD020,8,12,min,1982-08-12,14.4
02DD020,8,12,max,2019-08-12,82.599998
02DD020,8,13,min,1982-08-13,14.2
02DD020,8,13,max,2019-08-13,82.5
02DD020,8,14,min,1982-08-14,14.2
02DD020,8,14,max,2019-08-14,82.300003
02DD020,8,15,min,1982-08-15,14.4
02DD020,8,15,max,2019-08-15,81.699997
02DD020,8,16,min,1982-08-16,15.0
02DD020,8,16,max,2019-08-16,81.0
02DD020,8,17,min,1982-08-17,15.1
02DD020,8,17,max,2019-08-17,80.699997
02DD020,8,18,min,1982-08-18,15.2
02DD020,8,18,max,2019-08-18,80.300003
02DD020,8,19,min,1982-08-19,15.2
02DD020,8,19,max,2019-08-19,80.0
02DD020,8,20,min,1982-08-20,15.0
02DD020,8,20,max,2019-08-20,80.0
02DD020,8,21,min,1982-08-21,14.7
02DD020,8,21,max,2019-08-21,79.5
02DD020,8,22,min,1982-08-22,14.3
02DD020,8,22,max,2019-08-22,78.800003
02DD020,8,23,min,1982-08-23,14.8
02DD020,8,23,max,2019-08-23,78.400002
02DD020,8,24,min,1982-08-24,14.5
02DD020,8,24,max,2019-08-24,77.699997
02DD020,8,25,min,1982-08-25,14.4
02DD020,8,25,max,2019-08-25,77.099998
02DD020,8,26,min,1982-08-26,14.2
02DD020,8,26,max,2019-08-26,76.699997
02DD020,8,27,min,1982-08-27,14.1
02DD020,8,27,max,2019-08-27,76.699997
02DD020,8,28,min,1982-08-28,14.1
02DD020,8,28,max,2019-08-28,75.599998
02DD020,8,29,min,1982-08-29,14.0
02DD020,8,29,max,2019-08-29,75.099998
02DD020,8,30,min,1982-08-30,13.9
02DD020,8,30,max,2019-08-30,74.0
02DD020,8,31,min,1982-08-31,13.9
02DD020,8,31,max,2019-08-31,73.0
02DD020,9,1,min,1982-09-01,13.7
02DD020,9,1,max,2019-09-01,72.5
02DD020,9,2,min,1982-09-02,14.0
02DD020,9,2,max,2019-09-02,72.300003
02DD020,9,3,min,1982-09-03,14.0
02DD020,9,3,max,2019-09-03,72.0
02DD020,9,4,min,1982-09-04,13.7
02DD020,9,4,max,2019-09-04,71.800003
02DD020,9,5,min,1982-09-05,13.9
02DD020,9,5,max,2019-09-05,72.400002
02DD020,9,6,min,1982-09-06,13.6
02DD020,9,6,max,2019-09-06,71.199997
02DD020,9,7,min,1982-09-07,13.6
02DD020,9,7,max,2019-09-07,71.199997
02DD020,9,8,min,1982-09-08,13.7
02DD020,9,8,max,2019-09-08,71.5
02DD020,9,9,min,1982-09-09,13.6
02DD020,9,9,max,2019-09-09,76.699997
02DD020,9,10,min,1982-09-10,13.5
02DD020,9,10,max,2019-09-10,87.800003
02DD020,9,11,min,1982-09-11,13.6
02DD020,9,11,max,2019-09-11,90.199997
02DD020,9,12,min,1982-09-12,13.6
02DD020,9,12,max,2019-09-12,89.900002
02DD020,9,13,min,1982-09-13,13.5
02DD020,9,13,max,2019-09-13,89.699997
02DD020,9,14,min,1982-09-14,14.0
02DD020,9,14,max,2019-09-14,89.300003
02DD020,9,15,min,1982-09-15,13.5
02DD020,9,15,max,2019-09-15,88.800003
02DD020,9,16,min,1982-09-16,13.6
02DD020,9,16,max,2019-09-16,88.099998
02DD020,9,17,min,1982-09-17,13.4
02DD020,9,17,max,2019-09-17,87.699997
02DD020,9,18,min,1982-09-18,13.1
02DD020,9,18,max,2019-09-18,87.400002
02DD020,9,19,min,1982-09-19,13.0
02DD020,9,19,max,2019-09-19,85.800003
02DD020,9,20,min,1982-09-20,13.0
02DD020,9,20,max,2019-09-20,84.5
02DD020,9,21,min,1982-09-21,13.3
02DD020,9,21,max,2019-09-21,87.0
02DD020,9,22,min,1982-09-22,13.4
02DD020,9,22,max,2019-09-22,87.699997
02DD020,9,23,min,1982-09-23,13.3
02DD020,9,23,max,2019-09-23,87.400002
02DD020,9,24,min,1982-09-24,13.3
02DD020,9,24,max,2019-09-24,87.5
02DD020,9,25,min,1982-09-25,13.2
02DD020,9,25,max,2019-09-25,87.099998
02DD020,9,26,min,1982-09-26,13.2
02DD020,9,26,max,2019-09-26,86.400002
02DD020,9,27,min,1982-09-27,13.1
02DD020,9,27,max,2019-09-27,85.5
02DD020,9,28,min,1982-09-28,13.0
02DD020,9,28,max,2019-09-28,84.5
02DD020,9,29,min,1982-09-29,12.9
02DD020,9,29,max,2019-09-29,83.599998
02DD020,9,30,min,1982-09-30,13.0
02DD020,9,30,max,2019-09-30,84.0
02DD020,10,1,min,1982-10-01,13.1
02DD020,10,1,max,2019-10-01,83.099998
02DD020,10,2,min,1982-10-02,13.1
02DD020,10,2,max,2019-10-02,82.099998
02DD020,10,3,min,1982-10-03,13.9
02DD020,10,3,max,2019-10-03,82.800003
02DD020,10,4,min,1982-10-04,13.6
02DD020,10,4,max,2019-10-04,83.800003
02DD020,10,5,min,1982-10-05,13.4
02DD020,10,5,max,2019-10-05,84.199997
02DD020,10,6,min,1982-10-06,13.1
02DD020,10,6,max,2019-10-06,84.400002
02DD020,10,7,min,1982-10-07,13.1
02DD020,10,7,max,2019-10-07,84.0
02DD020,10,8,min,1982-10-08,13.2
02DD020,10,8,max,2019-10-08,83.199997
02DD020,10,9,min,1982-10-09,13.1
02DD020,10,9,max,2019-10-09,82.5
02DD020,10,10,min,1982-10-10,13.1
02DD020,10,10,max,2019-10-10,82.400002
02DD020,10,11,min,1982-10-11,13.0
02DD020,10,11,max,2019-10-11,82.5
02DD020,10,12,min,1982-10-12,12.8
02DD020,10,12,max,2019-10-12,82.5
02DD020,10,13,min,1982-10-13,12.8
02DD020,10,13,max,2019-10-13,81.800003
02DD020,10,14,min,1982-10-14,12.8
02DD020,10,14,max,2019-10-14,83.800003
02DD020,10,15,min,1982-10-15,12.8
02DD020,10,15,max,2019-10-15,87.0
02DD020,10,16,min,1982-10-16,12.6
02DD020,10,16,max,2019-10-16,87.599998
02DD020,10,17,min,1982-10-17,12.7
02DD020,10,17,max,2019-10-17,88.0
02DD020,10,18,min,1982-10-18,12.7
02DD020,10,18,max,2019-10-18,88.199997
02DD020,10,19,min,1982-10-19,12.7
02DD020,10,19,max,2019-10-19,88.5
02DD020,10,20,min,1982-10-20,12.7
02DD020,10,20,max,2019-10-20,90.0
02DD020,10,21,min,1982-10-21,12.7
02DD020,10,21,max,2019-10-21,92.900002
02DD020,10,22,min,1982-10-22,12.7
02DD020,10,22,max,2019-10-22,93.900002
02DD020,10,23,min,1982-10-23,12.6
02DD020,10,23,max,2019-10-23,94.800003
02DD020,10,24,min,1982-10-24,12.8
02DD020,10,24,max,2019-10-24,95.599998
02DD020,10,25,min,1982-10-25,12.7
02DD020,10,25,max,2019-10-25,96.099998
02DD020,10,26,min,1982-10-26,13.4
02DD020,10,26,max,2019-10-26,96.5
02DD020,10,27,min,1982-10-27,13.3
02DD020,10,27,max,2019-10-27,96.699997
02DD020,10,28,min,1982-10-28,13.7
02DD020,10,28,max,2019-10-28,97.199997
02DD020,10,29,min,1982-10-29,13.6
02DD020,10,29,max,2019-10-29,97.5
02DD020,10,30,min,1982-10-30,13.4
02DD020,10,30,max,2019-10-30,97.800003
02DD020,10,31,min,1982-10-31,13.5
